type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Mas Donís Rosat,2021,Celler Capçanes,Montsant,España,Garnacha / Syrah / Merlot,,3.0,5,2,1,-1,-1,-1,"6,30 €",,False
Vinos rosados y rosé,Flor de Nit Rosat,2020,Celler Terra i Vins,Terra Alta,España,Garnacha,,0.0,5,0,0,-1,-1,-1,"8,46 €","9,95 €",True
Vinos rosados y rosé,Ses Nines Rosat de Sang,2021,Tianna Negre - Ses Nines,Mallorca,España,Mantonegro / Callet / Cabernet sauvignon,,4.0,5,1,2,-1,-1,-1,"10,90 €",,False
Vinos rosados y rosé,Más Amor,2021,"Vino, Amor y Fantasía",Catalunya,España,Garnacha / Cariñena / Sumoll,,5.0,5,1,2,-1,-1,-1,"8,00 €",,False
Vinos rosados y rosé,Clarete de Luna Rosado,2021,Bodegas César Príncipe ,Cigales,España,Tempranillo / Albillo / Garnacha / Verdejo,,4.125,5,8,2,-1,-1,-1,"6,80 €",,False
Vinos rosados y rosé,Atance Rosé,2021,Risky Grapes,Valencia,España,Garnacha / Bobal,,0.0,5,0,0,-1,-1,-1,"7,50 €",,False
Vinos rosados y rosé,Artazuri Rosado,2021,Bodegas y Viñedos Artazu,Navarra,España,Garnacha,ECO,4.0,5,3,3,-1,-1,-1,"7,50 €",,False
Vinos rosados y rosé,Terramoll Rosa de Mar,2021,Bodega Terramoll,Formentera,España,Cabernet sauvignon / Merlot / Monastrell,,3.0,5,1,0,-1,-1,-1,"24,50 €",,False
Vinos rosados y rosé,Jhana,2018,Castell d'Encús,Costers del Segre,España,Merlot / Petit verdot,,0.0,5,0,4,93,-1,-1,"25,80 €",,False
Vinos rosados y rosé,Faustino Art Collection Rosé,2021,Bodegas Faustino,Rioja,España,Garnacha,,0.0,5,0,1,-1,-1,90,"7,70 €",,False
Vinos rosados y rosé,Trencaclosques,2018,Pascona,Montsant,España,Syrah,,0.0,5,0,1,-1,-1,-1,"9,22 €","10,85 €",True
Vinos rosados y rosé,Madrid Romero 3 Calas Rosado,2018,Bodega Madrid Romero,Jumilla,España,Garnacha / Monastrell,,0.0,5,0,1,-1,-1,-1,"6,72 €","7,90 €",True
Vinos rosados y rosé,Las Mulas Cabernet Sauvignon Rosé Organic,2021,Miguel Torres Chile,Valle Central,Chile,Cabernet sauvignon,ECO,0.0,5,0,0,-1,-1,-1,"10,45 €",,False
Vinos rosados y rosé,Albet i Noya Rosat Curiosa,2021,Albet i Noya,Penedès,España,Merlot / Pinot noir,ECO,3.5,5,2,0,-1,-1,-1,"8,30 €",,False
Vinos rosados y rosé,Domaine Sol Payré Rosae,2019,Domaine Sol Payré,Sin indicación geográfica,Francia,Monastrell / Grenache,,0.0,5,0,2,-1,-1,-1,"10,35 €",,False
Vinos rosados y rosé,Can Rich Bes,2020,Can Rich,Ibiza,España,Monastrell,ECO,3.5,5,2,0,-1,-1,-1,"10,16 €","11,95 €",True
Vinos rosados y rosé,Oriol Rosat,2020,Vinyes dels Aspres,Empordà,España,Garnacha gris / Syrah,,5.0,5,1,1,-1,-1,-1,"8,95 €",,False
Vinos rosados y rosé,Vinyes Singulars Claret,2020,Vinyes Singulars,Sin indicación geográfica,España,Xarel·lo / Sumoll,ECO,0.0,5,0,0,-1,-1,-1,"16,83 €","19,80 €",True
Vinos rosados y rosé,Obalo Rosado,2020,Bodega Obalo,Rioja,España,Tempranillo,,3.5,5,2,1,-1,-1,-1,"5,78 €","6,80 €",True
Vinos rosados y rosé,Vinyes Singulars Sumoi Barmei,2021,Vinyes Singulars,Sin indicación geográfica,España,Sumoll,ECO,0.0,5,0,3,-1,-1,-1,"21,50 €",,False
Vinos rosados y rosé,Perrin Réserve Côtes du Rhône Rosé,2020,Famille Perrin,Côtes du Rhône,Francia,Cinsaut / Grenache / Syrah / Monastrell,,0.0,5,0,1,-1,-1,-1,"9,00 €",,False
Vinos rosados y rosé,Viña Zorzal Rosado,2021,Viña Zorzal,Navarra,España,Garnacha,,4.4,5,5,11,-1,-1,-1,"6,50 €",,False
Vinos rosados y rosé,Pagos de Aráiz Rosado,2021,Pagos de Aráiz,Navarra,España,Garnacha,,4.33333,5,9,5,-1,-1,-1,"5,90 €",,False
Vinos rosados y rosé,Perelada Rosado,2020,Perelada,Empordà,España,Tempranillo / Garnacha / Merlot,,3.6,5,5,1,-1,-1,-1,"5,75 €",,False
